,VaR
2023-02-13,0.009809393966332262
2023-02-14,0.00966598800196928
2023-02-15,0.009719888857998276
2023-02-16,0.009732489258456042
2023-02-17,0.010561405444699894
2023-02-21,0.01043179176359506
2023-02-22,0.009080921950770008
2023-02-23,0.009258145141613668
2023-02-24,0.008446344561073698
2023-02-27,0.006402717600586153
2023-02-28,
2023-03-01,
2023-03-02,0.023798851482836864
2023-03-03,0.023920687454590233
2023-03-06,0.02468345004929486
2023-03-07,0.013627430094427347
2023-03-08,0.00990732387508673
2023-03-09,0.008326723788670653
2023-03-10,0.007447718089052094
2023-03-13,0.008993853632951057
2023-03-14,0.007070006597902591
2023-03-15,0.007641755451494799
2023-03-16,0.007502506441954561
2023-03-17,0.008196329303468697
2023-03-20,0.008751110511356115
2023-03-21,0.007203589340309545
2023-03-22,0.006366313201173023
2023-03-23,0.006849863421488605
2023-03-24,0.006121616954133997
2023-03-27,0.006404652892326156
2023-03-28,0.00640913378258226
2023-03-29,0.0056763229151959105
2023-03-30,0.005653616926552802
2023-03-31,
2023-04-03,
2023-04-04,0.020651439895033746
2023-04-05,0.013536747710070572
2023-04-06,0.009256652108776147
2023-04-10,0.008358060959483812
2023-04-11,0.008489556869232077
2023-04-12,0.007946013201882679
2023-04-13,0.006627548211859753
2023-04-14,0.006940190538209021
2023-04-17,0.006914969206168809
2023-04-18,0.006409834319908319
2023-04-19,0.0063343677352274115
2023-04-20,0.006325585977229911
2023-04-21,0.006275106948308279
2023-04-24,0.006374528091717118
2023-04-25,0.008308214342360034
2023-04-26,0.007580660314770946
2023-04-27,0.007601212938280236
2023-04-28,
2023-05-01,0.012767838068654204
2023-05-02,0.0062795432837853705
2023-05-03,0.004759235853929089
2023-05-04,0.004790624241282641
2023-05-05,0.006101901228817318
2023-05-08,0.005230685049224159
2023-05-09,0.005410399689219931
2023-05-10,0.005472518767836607
2023-05-11,0.004696601447651025
2023-05-12,0.004658125788290238
2023-05-15,0.005174156643590076
2023-05-16,0.003983779196355231
2023-05-17,0.00499385054005858
2023-05-18,0.00511937774242359
2023-05-19,0.005120222654363049
2023-05-22,0.005116773359375277
2023-05-23,0.004733548395647069
2023-05-24,0.005218357730553062
2023-05-25,0.0054308713238232316
2023-05-26,0.005823004976115514
2023-05-30,0.004960389238013826
2023-05-31,
2023-06-01,0.013496764311087204
2023-06-02,0.009592874989087738
2023-06-05,0.009607669859378727
2023-06-06,0.009566629741472687
2023-06-07,0.009881497842037002
2023-06-08,0.009983380424535573
2023-06-09,0.008000723527593498
2023-06-12,0.007890187975726805
2023-06-13,0.007869260412430253
2023-06-14,0.009160096915965303
2023-06-15,0.008946146516139083
2023-06-16,0.01070790575624263
2023-06-20,0.009241616650278707
2023-06-21,0.007971950922448495
2023-06-22,0.00694030787448719
2023-06-23,0.006796154606424161
2023-06-26,0.006123799078293605
2023-06-27,0.005664459793716432
2023-06-28,0.005466104751133601
2023-06-29,0.005775098465037791
2023-06-30,
2023-07-03,0.007047185373299537
2023-07-05,0.005282541835630673
2023-07-06,0.005335138227378655
2023-07-07,0.00449299001839731
2023-07-10,0.004706099907516492
2023-07-11,0.006197333064925349
2023-07-12,0.005360156205447975
2023-07-13,0.006130616159219647
2023-07-14,0.00558481437958595
2023-07-17,0.00560444106356024
2023-07-18,0.005574854622096828
2023-07-19,0.005551655798816876
2023-07-20,0.005537149455307212
2023-07-21,0.005536674525257219
